Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 308 | GridSize: 6
Generation 2 | Revalues: 516 | GridSize: 4
Generation 3 | Revalues: 732 | GridSize: 8
Generation 4 | Revalues: 924 | GridSize: 10
Generation 5 | Revalues: 1138 | GridSize: 8
Generation 6 | Revalues: 1340 | GridSize: 9
Generation 7 | Revalues: 1522 | GridSize: 9
Generation 8 | Revalues: 1722 | GridSize: 9
Generation 9 | Revalues: 1892 | GridSize: 9
Generation 10 | Revalues: 2082 | GridSize: 9
Generation 11 | Revalues: 2312 | GridSize: 9
Generation 12 | Revalues: 2502 | GridSize: 9
Generation 13 | Revalues: 2690 | GridSize: 9
Generation 14 | Revalues: 2892 | GridSize: 9
Generation 15 | Revalues: 3096 | GridSize: 9
Generation 16 | Revalues: 3278 | GridSize: 9
Generation 17 | Revalues: 3482 | GridSize: 10
Generation 18 | Revalues: 3678 | GridSize: 10
Generation 19 | Revalues: 3876 | GridSize: 10
Generation 20 | Revalues: 4060 | GridSize: 10
Generation 21 | Revalues: 4266 | GridSize: 10
Generation 22 | Revalues: 4442 | GridSize: 10
Generation 23 | Revalues: 4634 | GridSize: 12
Generation 24 | Revalues: 4822 | GridSize: 12
Generation 25 | Revalues: 5020 | GridSize: 12
Generation 26 | Revalues: 5200 | GridSize: 12
Generation 27 | Revalues: 5416 | GridSize: 10
Generation 28 | Revalues: 5622 | GridSize: 10
Generation 29 | Revalues: 5822 | GridSize: 10
Generation 30 | Revalues: 6040 | GridSize: 10
Generation 31 | Revalues: 6224 | GridSize: 10
Generation 32 | Revalues: 6404 | GridSize: 10
Generation 33 | Revalues: 6620 | GridSize: 10
Generation 34 | Revalues: 6834 | GridSize: 10
Generation 35 | Revalues: 7038 | GridSize: 11
Generation 36 | Revalues: 7276 | GridSize: 10
Generation 37 | Revalues: 7468 | GridSize: 10
Generation 38 | Revalues: 7648 | GridSize: 10
Generation 39 | Revalues: 7844 | GridSize: 10
Generation 40 | Revalues: 8042 | GridSize: 10
Generation 41 | Revalues: 8248 | GridSize: 10
Generation 42 | Revalues: 8472 | GridSize: 10
Generation 43 | Revalues: 8684 | GridSize: 10
Generation 44 | Revalues: 8900 | GridSize: 10
Generation 45 | Revalues: 9096 | GridSize: 12
Generation 46 | Revalues: 9292 | GridSize: 12
Generation 47 | Revalues: 9500 | GridSize: 12
Generation 48 | Revalues: 9714 | GridSize: 12
Generation 49 | Revalues: 9944 | GridSize: 12
Generation 50 | Revalues: 10146 | GridSize: 12
Generation 51 | Revalues: 10358 | GridSize: 12
Generation 52 | Revalues: 10574 | GridSize: 12
Generation 53 | Revalues: 10776 | GridSize: 12
Generation 54 | Revalues: 10970 | GridSize: 12
Generation 55 | Revalues: 11174 | GridSize: 12
Generation 56 | Revalues: 11354 | GridSize: 11
Generation 57 | Revalues: 11564 | GridSize: 10
Generation 58 | Revalues: 11766 | GridSize: 11
Generation 59 | Revalues: 11978 | GridSize: 11
Generation 60 | Revalues: 12180 | GridSize: 11
Generation 61 | Revalues: 12372 | GridSize: 12
Generation 62 | Revalues: 12572 | GridSize: 12
Generation 63 | Revalues: 12762 | GridSize: 12
Generation 64 | Revalues: 12968 | GridSize: 12
Generation 65 | Revalues: 13160 | GridSize: 12
Generation 66 | Revalues: 13344 | GridSize: 12
Generation 67 | Revalues: 13530 | GridSize: 12
Generation 68 | Revalues: 13724 | GridSize: 12
Generation 69 | Revalues: 13894 | GridSize: 12
Generation 70 | Revalues: 14078 | GridSize: 12
Generation 71 | Revalues: 14278 | GridSize: 12
Generation 72 | Revalues: 14460 | GridSize: 12
Generation 73 | Revalues: 14668 | GridSize: 12
Generation 74 | Revalues: 14900 | GridSize: 12
Generation 75 | Revalues: 15096 | GridSize: 12
Generation 76 | Revalues: 15276 | GridSize: 12
Generation 77 | Revalues: 15502 | GridSize: 12
Generation 78 | Revalues: 15718 | GridSize: 12
Generation 79 | Revalues: 15942 | GridSize: 12
Generation 80 | Revalues: 16138 | GridSize: 13
Generation 81 | Revalues: 16358 | GridSize: 13
Generation 82 | Revalues: 16554 | GridSize: 13
Generation 83 | Revalues: 16780 | GridSize: 13
Generation 84 | Revalues: 16956 | GridSize: 13
Generation 85 | Revalues: 17148 | GridSize: 13
Generation 86 | Revalues: 17362 | GridSize: 13
Generation 87 | Revalues: 17566 | GridSize: 12
Generation 88 | Revalues: 17764 | GridSize: 12
Generation 89 | Revalues: 17958 | GridSize: 12
Generation 90 | Revalues: 18156 | GridSize: 12
Generation 91 | Revalues: 18348 | GridSize: 12
Generation 92 | Revalues: 18530 | GridSize: 12
Generation 93 | Revalues: 18722 | GridSize: 12
Generation 94 | Revalues: 18910 | GridSize: 12
Generation 95 | Revalues: 19092 | GridSize: 12
Generation 96 | Revalues: 19292 | GridSize: 12
Generation 97 | Revalues: 19498 | GridSize: 12
Generation 98 | Revalues: 19700 | GridSize: 12
Generation 99 | Revalues: 19872 | GridSize: 12
Generation 100 | Revalues: 20054 | GridSize: 12
Generation 101 | Revalues: 20238 | GridSize: 12
Generation 102 | Revalues: 20450 | GridSize: 12
Generation 103 | Revalues: 20630 | GridSize: 12
Generation 104 | Revalues: 20818 | GridSize: 12
Generation 105 | Revalues: 21022 | GridSize: 12
Generation 106 | Revalues: 21234 | GridSize: 12
Generation 107 | Revalues: 21434 | GridSize: 12
Generation 108 | Revalues: 21610 | GridSize: 12
Generation 109 | Revalues: 21806 | GridSize: 12
Generation 110 | Revalues: 22020 | GridSize: 12
Generation 111 | Revalues: 22234 | GridSize: 12
Generation 112 | Revalues: 22414 | GridSize: 12
Generation 113 | Revalues: 22614 | GridSize: 12
Generation 114 | Revalues: 22828 | GridSize: 12
Generation 115 | Revalues: 23022 | GridSize: 12
Generation 116 | Revalues: 23208 | GridSize: 12
Generation 117 | Revalues: 23398 | GridSize: 13
Generation 118 | Revalues: 23588 | GridSize: 13
Generation 119 | Revalues: 23770 | GridSize: 13
Generation 120 | Revalues: 23978 | GridSize: 13
Generation 121 | Revalues: 24170 | GridSize: 13
Generation 122 | Revalues: 24354 | GridSize: 13
Generation 123 | Revalues: 24542 | GridSize: 13
Generation 124 | Revalues: 24734 | GridSize: 13
Generation 125 | Revalues: 24952 | GridSize: 13
Generation 126 | Revalues: 25160 | GridSize: 13
Generation 127 | Revalues: 25366 | GridSize: 11
Generation 128 | Revalues: 25552 | GridSize: 11
Generation 129 | Revalues: 25760 | GridSize: 11
Generation 130 | Revalues: 25956 | GridSize: 11
Generation 131 | Revalues: 26134 | GridSize: 11
Generation 132 | Revalues: 26344 | GridSize: 11
Generation 133 | Revalues: 26544 | GridSize: 11
Generation 134 | Revalues: 26746 | GridSize: 11
Generation 135 | Revalues: 26964 | GridSize: 11
Generation 136 | Revalues: 27166 | GridSize: 12
Generation 137 | Revalues: 27372 | GridSize: 12
Generation 138 | Revalues: 27550 | GridSize: 12
Generation 139 | Revalues: 27764 | GridSize: 12
Generation 140 | Revalues: 27968 | GridSize: 12
Generation 141 | Revalues: 28164 | GridSize: 12
Generation 142 | Revalues: 28384 | GridSize: 12
Generation 143 | Revalues: 28580 | GridSize: 12
Generation 144 | Revalues: 28794 | GridSize: 12
Generation 145 | Revalues: 28986 | GridSize: 13
Generation 146 | Revalues: 29186 | GridSize: 13
Generation 147 | Revalues: 29366 | GridSize: 13
Generation 148 | Revalues: 29580 | GridSize: 13
Generation 149 | Revalues: 29774 | GridSize: 13
Generation 150 | Revalues: 29968 | GridSize: 13
Generation 151 | Revalues: 30192 | GridSize: 13
Generation 152 | Revalues: 30406 | GridSize: 13
Generation 153 | Revalues: 30610 | GridSize: 13
Generation 154 | Revalues: 30776 | GridSize: 13
Generation 155 | Revalues: 30986 | GridSize: 13
Generation 156 | Revalues: 31182 | GridSize: 13
Generation 157 | Revalues: 31396 | GridSize: 13
Generation 158 | Revalues: 31600 | GridSize: 13
Generation 159 | Revalues: 31806 | GridSize: 13
Generation 160 | Revalues: 32030 | GridSize: 13
Generation 161 | Revalues: 32224 | GridSize: 13
Generation 162 | Revalues: 32422 | GridSize: 13
Generation 163 | Revalues: 32598 | GridSize: 13
Generation 164 | Revalues: 32806 | GridSize: 13
Generation 165 | Revalues: 33002 | GridSize: 13
Generation 166 | Revalues: 33192 | GridSize: 13
Generation 167 | Revalues: 33390 | GridSize: 13
Generation 168 | Revalues: 33608 | GridSize: 13
Generation 169 | Revalues: 33788 | GridSize: 13
Generation 170 | Revalues: 33988 | GridSize: 13
Generation 171 | Revalues: 34184 | GridSize: 13
Generation 172 | Revalues: 34404 | GridSize: 13
Generation 173 | Revalues: 34582 | GridSize: 13
Generation 174 | Revalues: 34786 | GridSize: 13
Generation 175 | Revalues: 34968 | GridSize: 13
Generation 176 | Revalues: 35158 | GridSize: 13
Generation 177 | Revalues: 35350 | GridSize: 13
Generation 178 | Revalues: 35564 | GridSize: 13
Generation 179 | Revalues: 35758 | GridSize: 13
Generation 180 | Revalues: 35946 | GridSize: 13
Generation 181 | Revalues: 36140 | GridSize: 13
