Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 318 | GridSize: 5
Generation 2 | Revalues: 506 | GridSize: 4
Generation 3 | Revalues: 698 | GridSize: 5
Generation 4 | Revalues: 912 | GridSize: 7
Generation 5 | Revalues: 1118 | GridSize: 6
Generation 6 | Revalues: 1302 | GridSize: 7
Generation 7 | Revalues: 1492 | GridSize: 9
Generation 8 | Revalues: 1680 | GridSize: 6
Generation 9 | Revalues: 1886 | GridSize: 7
Generation 10 | Revalues: 2096 | GridSize: 7
Generation 11 | Revalues: 2296 | GridSize: 7
Generation 12 | Revalues: 2506 | GridSize: 7
Generation 13 | Revalues: 2724 | GridSize: 7
Generation 14 | Revalues: 2918 | GridSize: 7
Generation 15 | Revalues: 3152 | GridSize: 7
Generation 16 | Revalues: 3340 | GridSize: 7
Generation 17 | Revalues: 3514 | GridSize: 7
Generation 18 | Revalues: 3728 | GridSize: 8
Generation 19 | Revalues: 3946 | GridSize: 8
Generation 20 | Revalues: 4128 | GridSize: 8
Generation 21 | Revalues: 4326 | GridSize: 9
Generation 22 | Revalues: 4544 | GridSize: 9
Generation 23 | Revalues: 4760 | GridSize: 10
Generation 24 | Revalues: 4982 | GridSize: 10
Generation 25 | Revalues: 5190 | GridSize: 10
Generation 26 | Revalues: 5394 | GridSize: 10
Generation 27 | Revalues: 5616 | GridSize: 9
Generation 28 | Revalues: 5836 | GridSize: 9
Generation 29 | Revalues: 6042 | GridSize: 10
Generation 30 | Revalues: 6238 | GridSize: 10
Generation 31 | Revalues: 6450 | GridSize: 10
Generation 32 | Revalues: 6664 | GridSize: 10
Generation 33 | Revalues: 6870 | GridSize: 10
Generation 34 | Revalues: 7060 | GridSize: 10
Generation 35 | Revalues: 7264 | GridSize: 10
Generation 36 | Revalues: 7486 | GridSize: 10
Generation 37 | Revalues: 7696 | GridSize: 10
Generation 38 | Revalues: 7888 | GridSize: 10
Generation 39 | Revalues: 8096 | GridSize: 10
Generation 40 | Revalues: 8306 | GridSize: 10
Generation 41 | Revalues: 8516 | GridSize: 10
Generation 42 | Revalues: 8718 | GridSize: 10
Generation 43 | Revalues: 8916 | GridSize: 10
Generation 44 | Revalues: 9088 | GridSize: 10
Generation 45 | Revalues: 9268 | GridSize: 10
Generation 46 | Revalues: 9474 | GridSize: 11
Generation 47 | Revalues: 9688 | GridSize: 11
Generation 48 | Revalues: 9886 | GridSize: 11
Generation 49 | Revalues: 10102 | GridSize: 11
Generation 50 | Revalues: 10318 | GridSize: 11
Generation 51 | Revalues: 10512 | GridSize: 11
Generation 52 | Revalues: 10698 | GridSize: 11
Generation 53 | Revalues: 10886 | GridSize: 11
Generation 54 | Revalues: 11120 | GridSize: 12
Generation 55 | Revalues: 11342 | GridSize: 12
Generation 56 | Revalues: 11556 | GridSize: 12
Generation 57 | Revalues: 11776 | GridSize: 12
Generation 58 | Revalues: 11978 | GridSize: 12
Generation 59 | Revalues: 12208 | GridSize: 13
Generation 60 | Revalues: 12410 | GridSize: 14
Generation 61 | Revalues: 12636 | GridSize: 14
Generation 62 | Revalues: 12822 | GridSize: 14
Generation 63 | Revalues: 13032 | GridSize: 14
Generation 64 | Revalues: 13226 | GridSize: 14
Generation 65 | Revalues: 13426 | GridSize: 14
Generation 66 | Revalues: 13642 | GridSize: 14
Generation 67 | Revalues: 13826 | GridSize: 14
Generation 68 | Revalues: 14026 | GridSize: 14
Generation 69 | Revalues: 14224 | GridSize: 14
Generation 70 | Revalues: 14416 | GridSize: 14
Generation 71 | Revalues: 14614 | GridSize: 15
Generation 72 | Revalues: 14820 | GridSize: 15
Generation 73 | Revalues: 15006 | GridSize: 15
Generation 74 | Revalues: 15236 | GridSize: 15
Generation 75 | Revalues: 15424 | GridSize: 16
Generation 76 | Revalues: 15614 | GridSize: 16
Generation 77 | Revalues: 15842 | GridSize: 16
Generation 78 | Revalues: 16014 | GridSize: 16
Generation 79 | Revalues: 16234 | GridSize: 16
Generation 80 | Revalues: 16454 | GridSize: 17
Generation 81 | Revalues: 16648 | GridSize: 17
Generation 82 | Revalues: 16832 | GridSize: 18
Generation 83 | Revalues: 17034 | GridSize: 18
Generation 84 | Revalues: 17212 | GridSize: 18
Generation 85 | Revalues: 17408 | GridSize: 18
Generation 86 | Revalues: 17616 | GridSize: 18
Generation 87 | Revalues: 17820 | GridSize: 19
Generation 88 | Revalues: 18018 | GridSize: 18
Generation 89 | Revalues: 18210 | GridSize: 18
Generation 90 | Revalues: 18396 | GridSize: 18
Generation 91 | Revalues: 18618 | GridSize: 18
Generation 92 | Revalues: 18812 | GridSize: 18
Generation 93 | Revalues: 19038 | GridSize: 18
Generation 94 | Revalues: 19228 | GridSize: 18
Generation 95 | Revalues: 19436 | GridSize: 18
Generation 96 | Revalues: 19632 | GridSize: 18
Generation 97 | Revalues: 19830 | GridSize: 18
Generation 98 | Revalues: 20042 | GridSize: 17
Generation 99 | Revalues: 20236 | GridSize: 14
Generation 100 | Revalues: 20440 | GridSize: 14
Generation 101 | Revalues: 20646 | GridSize: 14
Generation 102 | Revalues: 20834 | GridSize: 14
Generation 103 | Revalues: 21040 | GridSize: 14
Generation 104 | Revalues: 21246 | GridSize: 15
Generation 105 | Revalues: 21452 | GridSize: 9
Generation 106 | Revalues: 21638 | GridSize: 9
Generation 107 | Revalues: 21854 | GridSize: 9
Generation 108 | Revalues: 22070 | GridSize: 9
Generation 109 | Revalues: 22258 | GridSize: 9
Generation 110 | Revalues: 22460 | GridSize: 9
Generation 111 | Revalues: 22650 | GridSize: 9
Generation 112 | Revalues: 22832 | GridSize: 9
Generation 113 | Revalues: 23048 | GridSize: 9
Generation 114 | Revalues: 23240 | GridSize: 9
Generation 115 | Revalues: 23432 | GridSize: 9
Generation 116 | Revalues: 23636 | GridSize: 9
Generation 117 | Revalues: 23842 | GridSize: 9
Generation 118 | Revalues: 24036 | GridSize: 9
Generation 119 | Revalues: 24246 | GridSize: 9
Generation 120 | Revalues: 24454 | GridSize: 9
Generation 121 | Revalues: 24624 | GridSize: 9
Generation 122 | Revalues: 24824 | GridSize: 9
