Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 294 | GridSize: 6
Generation 2 | Revalues: 484 | GridSize: 8
Generation 3 | Revalues: 682 | GridSize: 8
Generation 4 | Revalues: 894 | GridSize: 8
Generation 5 | Revalues: 1098 | GridSize: 10
Generation 6 | Revalues: 1300 | GridSize: 10
Generation 7 | Revalues: 1498 | GridSize: 12
Generation 8 | Revalues: 1708 | GridSize: 11
Generation 9 | Revalues: 1906 | GridSize: 7
Generation 10 | Revalues: 2114 | GridSize: 7
Generation 11 | Revalues: 2322 | GridSize: 7
Generation 12 | Revalues: 2518 | GridSize: 9
Generation 13 | Revalues: 2750 | GridSize: 9
Generation 14 | Revalues: 2936 | GridSize: 10
Generation 15 | Revalues: 3128 | GridSize: 9
Generation 16 | Revalues: 3344 | GridSize: 10
Generation 17 | Revalues: 3538 | GridSize: 10
Generation 18 | Revalues: 3734 | GridSize: 10
Generation 19 | Revalues: 3952 | GridSize: 10
Generation 20 | Revalues: 4172 | GridSize: 10
Generation 21 | Revalues: 4374 | GridSize: 10
Generation 22 | Revalues: 4594 | GridSize: 11
Generation 23 | Revalues: 4784 | GridSize: 11
Generation 24 | Revalues: 4964 | GridSize: 11
Generation 25 | Revalues: 5158 | GridSize: 11
Generation 26 | Revalues: 5328 | GridSize: 11
Generation 27 | Revalues: 5520 | GridSize: 12
Generation 28 | Revalues: 5714 | GridSize: 12
Generation 29 | Revalues: 5916 | GridSize: 13
Generation 30 | Revalues: 6106 | GridSize: 13
Generation 31 | Revalues: 6332 | GridSize: 13
Generation 32 | Revalues: 6544 | GridSize: 13
Generation 33 | Revalues: 6732 | GridSize: 13
Generation 34 | Revalues: 6938 | GridSize: 13
Generation 35 | Revalues: 7160 | GridSize: 13
Generation 36 | Revalues: 7348 | GridSize: 14
Generation 37 | Revalues: 7518 | GridSize: 14
Generation 38 | Revalues: 7722 | GridSize: 13
Generation 39 | Revalues: 7900 | GridSize: 13
Generation 40 | Revalues: 8098 | GridSize: 11
Generation 41 | Revalues: 8294 | GridSize: 11
Generation 42 | Revalues: 8490 | GridSize: 11
Generation 43 | Revalues: 8682 | GridSize: 11
Generation 44 | Revalues: 8900 | GridSize: 11
Generation 45 | Revalues: 9112 | GridSize: 11
Generation 46 | Revalues: 9330 | GridSize: 11
Generation 47 | Revalues: 9502 | GridSize: 11
Generation 48 | Revalues: 9694 | GridSize: 11
Generation 49 | Revalues: 9912 | GridSize: 11
Generation 50 | Revalues: 10100 | GridSize: 12
Generation 51 | Revalues: 10300 | GridSize: 13
Generation 52 | Revalues: 10496 | GridSize: 13
Generation 53 | Revalues: 10724 | GridSize: 12
Generation 54 | Revalues: 10904 | GridSize: 13
Generation 55 | Revalues: 11094 | GridSize: 13
Generation 56 | Revalues: 11318 | GridSize: 13
Generation 57 | Revalues: 11498 | GridSize: 14
Generation 58 | Revalues: 11694 | GridSize: 14
Generation 59 | Revalues: 11902 | GridSize: 14
Generation 60 | Revalues: 12106 | GridSize: 14
Generation 61 | Revalues: 12316 | GridSize: 14
Generation 62 | Revalues: 12530 | GridSize: 14
Generation 63 | Revalues: 12756 | GridSize: 14
Generation 64 | Revalues: 12950 | GridSize: 14
