Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 290 | GridSize: 9
Generation 2 | Revalues: 492 | GridSize: 10
Generation 3 | Revalues: 688 | GridSize: 10
Generation 4 | Revalues: 874 | GridSize: 12
Generation 5 | Revalues: 1078 | GridSize: 9
Generation 6 | Revalues: 1284 | GridSize: 8
Generation 7 | Revalues: 1474 | GridSize: 9
Generation 8 | Revalues: 1674 | GridSize: 9
Generation 9 | Revalues: 1866 | GridSize: 8
Generation 10 | Revalues: 2044 | GridSize: 8
Generation 11 | Revalues: 2220 | GridSize: 9
Generation 12 | Revalues: 2432 | GridSize: 9
Generation 13 | Revalues: 2612 | GridSize: 9
Generation 14 | Revalues: 2806 | GridSize: 9
Generation 15 | Revalues: 3018 | GridSize: 9
Generation 16 | Revalues: 3240 | GridSize: 9
Generation 17 | Revalues: 3438 | GridSize: 9
Generation 18 | Revalues: 3614 | GridSize: 9
Generation 19 | Revalues: 3816 | GridSize: 9
Generation 20 | Revalues: 4022 | GridSize: 9
Generation 21 | Revalues: 4224 | GridSize: 9
Generation 22 | Revalues: 4440 | GridSize: 10
Generation 23 | Revalues: 4634 | GridSize: 10
Generation 24 | Revalues: 4826 | GridSize: 8
Generation 25 | Revalues: 5022 | GridSize: 9
Generation 26 | Revalues: 5256 | GridSize: 10
Generation 27 | Revalues: 5458 | GridSize: 10
Generation 28 | Revalues: 5644 | GridSize: 10
Generation 29 | Revalues: 5808 | GridSize: 10
Generation 30 | Revalues: 5996 | GridSize: 10
Generation 31 | Revalues: 6192 | GridSize: 10
Generation 32 | Revalues: 6392 | GridSize: 11
Generation 33 | Revalues: 6562 | GridSize: 11
Generation 34 | Revalues: 6770 | GridSize: 12
Generation 35 | Revalues: 6990 | GridSize: 12
Generation 36 | Revalues: 7210 | GridSize: 12
Generation 37 | Revalues: 7406 | GridSize: 12
Generation 38 | Revalues: 7610 | GridSize: 12
Generation 39 | Revalues: 7790 | GridSize: 12
