Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 308 | GridSize: 4
Generation 2 | Revalues: 494 | GridSize: 5
Generation 3 | Revalues: 684 | GridSize: 5
Generation 4 | Revalues: 900 | GridSize: 5
Generation 5 | Revalues: 1104 | GridSize: 7
Generation 6 | Revalues: 1326 | GridSize: 7
Generation 7 | Revalues: 1532 | GridSize: 9
Generation 8 | Revalues: 1744 | GridSize: 5
Generation 9 | Revalues: 1964 | GridSize: 3
Generation 10 | Revalues: 2182 | GridSize: 5
Generation 11 | Revalues: 2388 | GridSize: 5
Generation 12 | Revalues: 2568 | GridSize: 6
Generation 13 | Revalues: 2774 | GridSize: 6
Generation 14 | Revalues: 2998 | GridSize: 6
Generation 15 | Revalues: 3210 | GridSize: 6
Generation 16 | Revalues: 3442 | GridSize: 8
Generation 17 | Revalues: 3636 | GridSize: 8
Generation 18 | Revalues: 3850 | GridSize: 8
Generation 19 | Revalues: 4062 | GridSize: 8
Generation 20 | Revalues: 4252 | GridSize: 9
Generation 21 | Revalues: 4460 | GridSize: 11
Generation 22 | Revalues: 4668 | GridSize: 6
Generation 23 | Revalues: 4870 | GridSize: 6
Generation 24 | Revalues: 5078 | GridSize: 6
Generation 25 | Revalues: 5280 | GridSize: 5
Generation 26 | Revalues: 5496 | GridSize: 5
Generation 27 | Revalues: 5698 | GridSize: 5
Generation 28 | Revalues: 5910 | GridSize: 6
Generation 29 | Revalues: 6122 | GridSize: 6
Generation 30 | Revalues: 6342 | GridSize: 6
Generation 31 | Revalues: 6534 | GridSize: 6
Generation 32 | Revalues: 6730 | GridSize: 6
Generation 33 | Revalues: 6930 | GridSize: 6
Generation 34 | Revalues: 7154 | GridSize: 6
Generation 35 | Revalues: 7340 | GridSize: 6
Generation 36 | Revalues: 7542 | GridSize: 6
Generation 37 | Revalues: 7754 | GridSize: 6
Generation 38 | Revalues: 7952 | GridSize: 6
Generation 39 | Revalues: 8156 | GridSize: 6
Generation 40 | Revalues: 8374 | GridSize: 6
Generation 41 | Revalues: 8592 | GridSize: 6
Generation 42 | Revalues: 8776 | GridSize: 6
Generation 43 | Revalues: 8970 | GridSize: 6
Generation 44 | Revalues: 9166 | GridSize: 6
Generation 45 | Revalues: 9380 | GridSize: 6
Generation 46 | Revalues: 9576 | GridSize: 6
Generation 47 | Revalues: 9786 | GridSize: 6
Generation 48 | Revalues: 10008 | GridSize: 6
Generation 49 | Revalues: 10194 | GridSize: 6
Generation 50 | Revalues: 10404 | GridSize: 6
Generation 51 | Revalues: 10608 | GridSize: 6
Generation 52 | Revalues: 10790 | GridSize: 7
Generation 53 | Revalues: 10996 | GridSize: 7
Generation 54 | Revalues: 11196 | GridSize: 7
Generation 55 | Revalues: 11398 | GridSize: 7
Generation 56 | Revalues: 11616 | GridSize: 7
Generation 57 | Revalues: 11818 | GridSize: 7
Generation 58 | Revalues: 11990 | GridSize: 7
Generation 59 | Revalues: 12196 | GridSize: 7
Generation 60 | Revalues: 12400 | GridSize: 7
Generation 61 | Revalues: 12602 | GridSize: 7
Generation 62 | Revalues: 12822 | GridSize: 7
Generation 63 | Revalues: 13026 | GridSize: 7
Generation 64 | Revalues: 13236 | GridSize: 5
Generation 65 | Revalues: 13472 | GridSize: 6
Generation 66 | Revalues: 13656 | GridSize: 6
Generation 67 | Revalues: 13818 | GridSize: 6
Generation 68 | Revalues: 14018 | GridSize: 6
Generation 69 | Revalues: 14230 | GridSize: 6
Generation 70 | Revalues: 14442 | GridSize: 6
Generation 71 | Revalues: 14636 | GridSize: 6
Generation 72 | Revalues: 14842 | GridSize: 6
Generation 73 | Revalues: 15034 | GridSize: 6
Generation 74 | Revalues: 15204 | GridSize: 6
Generation 75 | Revalues: 15378 | GridSize: 6
Generation 76 | Revalues: 15568 | GridSize: 6
Generation 77 | Revalues: 15770 | GridSize: 6
Generation 78 | Revalues: 15968 | GridSize: 6
Generation 79 | Revalues: 16186 | GridSize: 6
Generation 80 | Revalues: 16372 | GridSize: 6
Generation 81 | Revalues: 16600 | GridSize: 6
Generation 82 | Revalues: 16814 | GridSize: 6
Generation 83 | Revalues: 17010 | GridSize: 6
Generation 84 | Revalues: 17208 | GridSize: 6
Generation 85 | Revalues: 17408 | GridSize: 6
Generation 86 | Revalues: 17616 | GridSize: 6
Generation 87 | Revalues: 17808 | GridSize: 6
Generation 88 | Revalues: 18006 | GridSize: 6
Generation 89 | Revalues: 18220 | GridSize: 6
Generation 90 | Revalues: 18426 | GridSize: 6
Generation 91 | Revalues: 18598 | GridSize: 6
Generation 92 | Revalues: 18796 | GridSize: 6
Generation 93 | Revalues: 19014 | GridSize: 6
Generation 94 | Revalues: 19242 | GridSize: 6
Generation 95 | Revalues: 19452 | GridSize: 6
Generation 96 | Revalues: 19664 | GridSize: 6
Generation 97 | Revalues: 19870 | GridSize: 6
Generation 98 | Revalues: 20080 | GridSize: 6
Generation 99 | Revalues: 20296 | GridSize: 6
Generation 100 | Revalues: 20500 | GridSize: 6
Generation 101 | Revalues: 20706 | GridSize: 6
Generation 102 | Revalues: 20892 | GridSize: 6
Generation 103 | Revalues: 21080 | GridSize: 6
Generation 104 | Revalues: 21310 | GridSize: 6
Generation 105 | Revalues: 21502 | GridSize: 6
Generation 106 | Revalues: 21706 | GridSize: 6
Generation 107 | Revalues: 21928 | GridSize: 6
Generation 108 | Revalues: 22120 | GridSize: 6
Generation 109 | Revalues: 22358 | GridSize: 6
Generation 110 | Revalues: 22562 | GridSize: 6
Generation 111 | Revalues: 22730 | GridSize: 6
Generation 112 | Revalues: 22940 | GridSize: 6
Generation 113 | Revalues: 23138 | GridSize: 6
Generation 114 | Revalues: 23338 | GridSize: 6
Generation 115 | Revalues: 23558 | GridSize: 6
Generation 116 | Revalues: 23750 | GridSize: 6
Generation 117 | Revalues: 23960 | GridSize: 6
Generation 118 | Revalues: 24162 | GridSize: 6
Generation 119 | Revalues: 24358 | GridSize: 6
Generation 120 | Revalues: 24548 | GridSize: 6
Generation 121 | Revalues: 24766 | GridSize: 6
Generation 122 | Revalues: 24966 | GridSize: 6
Generation 123 | Revalues: 25166 | GridSize: 6
Generation 124 | Revalues: 25380 | GridSize: 6
Generation 125 | Revalues: 25580 | GridSize: 6
Generation 126 | Revalues: 25796 | GridSize: 6
