Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 300 | GridSize: 8
Generation 2 | Revalues: 486 | GridSize: 9
Generation 3 | Revalues: 674 | GridSize: 9
Generation 4 | Revalues: 862 | GridSize: 10
Generation 5 | Revalues: 1056 | GridSize: 12
Generation 6 | Revalues: 1270 | GridSize: 17
Generation 7 | Revalues: 1470 | GridSize: 18
Generation 8 | Revalues: 1652 | GridSize: 14
Generation 9 | Revalues: 1844 | GridSize: 17
Generation 10 | Revalues: 2070 | GridSize: 17
Generation 11 | Revalues: 2274 | GridSize: 17
Generation 12 | Revalues: 2454 | GridSize: 17
Generation 13 | Revalues: 2638 | GridSize: 15
Generation 14 | Revalues: 2840 | GridSize: 15
Generation 15 | Revalues: 3044 | GridSize: 15
Generation 16 | Revalues: 3248 | GridSize: 16
Generation 17 | Revalues: 3474 | GridSize: 16
Generation 18 | Revalues: 3676 | GridSize: 16
Generation 19 | Revalues: 3856 | GridSize: 16
Generation 20 | Revalues: 4056 | GridSize: 16
Generation 21 | Revalues: 4256 | GridSize: 16
Generation 22 | Revalues: 4456 | GridSize: 16
Generation 23 | Revalues: 4658 | GridSize: 16
Generation 24 | Revalues: 4842 | GridSize: 17
Generation 25 | Revalues: 5032 | GridSize: 17
Generation 26 | Revalues: 5244 | GridSize: 18
Generation 27 | Revalues: 5414 | GridSize: 19
Generation 28 | Revalues: 5596 | GridSize: 19
Generation 29 | Revalues: 5804 | GridSize: 19
Generation 30 | Revalues: 5998 | GridSize: 19
Generation 31 | Revalues: 6200 | GridSize: 19
Generation 32 | Revalues: 6402 | GridSize: 20
Generation 33 | Revalues: 6608 | GridSize: 20
Generation 34 | Revalues: 6834 | GridSize: 19
Generation 35 | Revalues: 7054 | GridSize: 20
Generation 36 | Revalues: 7266 | GridSize: 16
Generation 37 | Revalues: 7476 | GridSize: 16
Generation 38 | Revalues: 7660 | GridSize: 14
Generation 39 | Revalues: 7874 | GridSize: 14
Generation 40 | Revalues: 8070 | GridSize: 14
Generation 41 | Revalues: 8256 | GridSize: 14
Generation 42 | Revalues: 8456 | GridSize: 14
Generation 43 | Revalues: 8672 | GridSize: 10
Generation 44 | Revalues: 8890 | GridSize: 10
Generation 45 | Revalues: 9110 | GridSize: 10
Generation 46 | Revalues: 9302 | GridSize: 10
Generation 47 | Revalues: 9500 | GridSize: 11
Generation 48 | Revalues: 9700 | GridSize: 12
Generation 49 | Revalues: 9932 | GridSize: 12
Generation 50 | Revalues: 10124 | GridSize: 12
Generation 51 | Revalues: 10316 | GridSize: 12
Generation 52 | Revalues: 10518 | GridSize: 15
Generation 53 | Revalues: 10706 | GridSize: 15
Generation 54 | Revalues: 10892 | GridSize: 15
Generation 55 | Revalues: 11094 | GridSize: 15
Generation 56 | Revalues: 11290 | GridSize: 15
Generation 57 | Revalues: 11494 | GridSize: 15
Generation 58 | Revalues: 11700 | GridSize: 15
Generation 59 | Revalues: 11894 | GridSize: 15
Generation 60 | Revalues: 12114 | GridSize: 15
Generation 61 | Revalues: 12322 | GridSize: 15
Generation 62 | Revalues: 12530 | GridSize: 15
Generation 63 | Revalues: 12722 | GridSize: 15
Generation 64 | Revalues: 12910 | GridSize: 15
Generation 65 | Revalues: 13118 | GridSize: 15
Generation 66 | Revalues: 13294 | GridSize: 15
Generation 67 | Revalues: 13468 | GridSize: 15
Generation 68 | Revalues: 13668 | GridSize: 15
Generation 69 | Revalues: 13870 | GridSize: 15
Generation 70 | Revalues: 14064 | GridSize: 15
Generation 71 | Revalues: 14252 | GridSize: 14
Generation 72 | Revalues: 14420 | GridSize: 14
Generation 73 | Revalues: 14628 | GridSize: 14
Generation 74 | Revalues: 14826 | GridSize: 14
Generation 75 | Revalues: 15042 | GridSize: 14
Generation 76 | Revalues: 15252 | GridSize: 14
Generation 77 | Revalues: 15456 | GridSize: 14
Generation 78 | Revalues: 15648 | GridSize: 14
Generation 79 | Revalues: 15836 | GridSize: 14
Generation 80 | Revalues: 16058 | GridSize: 14
Generation 81 | Revalues: 16264 | GridSize: 14
Generation 82 | Revalues: 16480 | GridSize: 14
Generation 83 | Revalues: 16682 | GridSize: 14
Generation 84 | Revalues: 16876 | GridSize: 14
Generation 85 | Revalues: 17082 | GridSize: 14
Generation 86 | Revalues: 17280 | GridSize: 14
Generation 87 | Revalues: 17490 | GridSize: 15
Generation 88 | Revalues: 17704 | GridSize: 15
Generation 89 | Revalues: 17898 | GridSize: 15
Generation 90 | Revalues: 18096 | GridSize: 16
Generation 91 | Revalues: 18310 | GridSize: 13
Generation 92 | Revalues: 18514 | GridSize: 13
Generation 93 | Revalues: 18728 | GridSize: 13
Generation 94 | Revalues: 18942 | GridSize: 13
Generation 95 | Revalues: 19156 | GridSize: 13
Generation 96 | Revalues: 19350 | GridSize: 13
Generation 97 | Revalues: 19566 | GridSize: 13
Generation 98 | Revalues: 19764 | GridSize: 13
Generation 99 | Revalues: 19952 | GridSize: 13
Generation 100 | Revalues: 20148 | GridSize: 13
Generation 101 | Revalues: 20358 | GridSize: 13
Generation 102 | Revalues: 20556 | GridSize: 13
Generation 103 | Revalues: 20744 | GridSize: 13
Generation 104 | Revalues: 20958 | GridSize: 13
Generation 105 | Revalues: 21150 | GridSize: 13
Generation 106 | Revalues: 21352 | GridSize: 13
Generation 107 | Revalues: 21548 | GridSize: 13
Generation 108 | Revalues: 21754 | GridSize: 13
Generation 109 | Revalues: 21968 | GridSize: 13
Generation 110 | Revalues: 22150 | GridSize: 13
Generation 111 | Revalues: 22380 | GridSize: 13
Generation 112 | Revalues: 22580 | GridSize: 13
Generation 113 | Revalues: 22798 | GridSize: 13
Generation 114 | Revalues: 23014 | GridSize: 13
Generation 115 | Revalues: 23198 | GridSize: 13
Generation 116 | Revalues: 23422 | GridSize: 13
Generation 117 | Revalues: 23600 | GridSize: 13
Generation 118 | Revalues: 23822 | GridSize: 13
Generation 119 | Revalues: 24014 | GridSize: 13
Generation 120 | Revalues: 24244 | GridSize: 13
Generation 121 | Revalues: 24424 | GridSize: 13
Generation 122 | Revalues: 24610 | GridSize: 13
Generation 123 | Revalues: 24810 | GridSize: 13
Generation 124 | Revalues: 25022 | GridSize: 13
Generation 125 | Revalues: 25240 | GridSize: 13
Generation 126 | Revalues: 25448 | GridSize: 13
Generation 127 | Revalues: 25666 | GridSize: 13
Generation 128 | Revalues: 25866 | GridSize: 13
Generation 129 | Revalues: 26076 | GridSize: 13
Generation 130 | Revalues: 26264 | GridSize: 11
Generation 131 | Revalues: 26468 | GridSize: 11
Generation 132 | Revalues: 26672 | GridSize: 12
Generation 133 | Revalues: 26864 | GridSize: 12
Generation 134 | Revalues: 27066 | GridSize: 10
Generation 135 | Revalues: 27252 | GridSize: 10
Generation 136 | Revalues: 27464 | GridSize: 10
Generation 137 | Revalues: 27646 | GridSize: 10
Generation 138 | Revalues: 27872 | GridSize: 10
Generation 139 | Revalues: 28096 | GridSize: 10
Generation 140 | Revalues: 28312 | GridSize: 10
Generation 141 | Revalues: 28506 | GridSize: 10
Generation 142 | Revalues: 28706 | GridSize: 10
Generation 143 | Revalues: 28884 | GridSize: 10
Generation 144 | Revalues: 29074 | GridSize: 10
Generation 145 | Revalues: 29262 | GridSize: 10
Generation 146 | Revalues: 29456 | GridSize: 10
Generation 147 | Revalues: 29652 | GridSize: 10
Generation 148 | Revalues: 29830 | GridSize: 10
Generation 149 | Revalues: 30044 | GridSize: 10
Generation 150 | Revalues: 30258 | GridSize: 10
Generation 151 | Revalues: 30438 | GridSize: 10
Generation 152 | Revalues: 30634 | GridSize: 10
Generation 153 | Revalues: 30834 | GridSize: 10
Generation 154 | Revalues: 31044 | GridSize: 10
Generation 155 | Revalues: 31252 | GridSize: 10
Generation 156 | Revalues: 31452 | GridSize: 10
Generation 157 | Revalues: 31658 | GridSize: 10
Generation 158 | Revalues: 31844 | GridSize: 10
Generation 159 | Revalues: 32046 | GridSize: 10
Generation 160 | Revalues: 32222 | GridSize: 10
Generation 161 | Revalues: 32390 | GridSize: 10
Generation 162 | Revalues: 32610 | GridSize: 10
Generation 163 | Revalues: 32816 | GridSize: 10
Generation 164 | Revalues: 33044 | GridSize: 10
Generation 165 | Revalues: 33256 | GridSize: 10
Generation 166 | Revalues: 33468 | GridSize: 10
Generation 167 | Revalues: 33660 | GridSize: 10
Generation 168 | Revalues: 33870 | GridSize: 10
Generation 169 | Revalues: 34086 | GridSize: 10
Generation 170 | Revalues: 34296 | GridSize: 10
Generation 171 | Revalues: 34508 | GridSize: 10
Generation 172 | Revalues: 34700 | GridSize: 10
Generation 173 | Revalues: 34920 | GridSize: 10
Generation 174 | Revalues: 35086 | GridSize: 10
Generation 175 | Revalues: 35290 | GridSize: 10
Generation 176 | Revalues: 35482 | GridSize: 10
Generation 177 | Revalues: 35688 | GridSize: 10
Generation 178 | Revalues: 35904 | GridSize: 10
