Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 300 | GridSize: 4
Generation 2 | Revalues: 512 | GridSize: 6
Generation 3 | Revalues: 728 | GridSize: 6
Generation 4 | Revalues: 904 | GridSize: 8
Generation 5 | Revalues: 1124 | GridSize: 8
Generation 6 | Revalues: 1332 | GridSize: 9
Generation 7 | Revalues: 1518 | GridSize: 9
Generation 8 | Revalues: 1718 | GridSize: 9
Generation 9 | Revalues: 1910 | GridSize: 10
Generation 10 | Revalues: 2118 | GridSize: 11
Generation 11 | Revalues: 2316 | GridSize: 9
Generation 12 | Revalues: 2534 | GridSize: 9
Generation 13 | Revalues: 2726 | GridSize: 9
Generation 14 | Revalues: 2914 | GridSize: 11
Generation 15 | Revalues: 3158 | GridSize: 11
Generation 16 | Revalues: 3362 | GridSize: 11
Generation 17 | Revalues: 3540 | GridSize: 11
Generation 18 | Revalues: 3746 | GridSize: 11
Generation 19 | Revalues: 3932 | GridSize: 11
Generation 20 | Revalues: 4138 | GridSize: 11
Generation 21 | Revalues: 4308 | GridSize: 11
Generation 22 | Revalues: 4522 | GridSize: 11
Generation 23 | Revalues: 4746 | GridSize: 13
Generation 24 | Revalues: 4946 | GridSize: 13
Generation 25 | Revalues: 5132 | GridSize: 13
Generation 26 | Revalues: 5320 | GridSize: 13
Generation 27 | Revalues: 5510 | GridSize: 13
Generation 28 | Revalues: 5706 | GridSize: 13
Generation 29 | Revalues: 5900 | GridSize: 13
Generation 30 | Revalues: 6088 | GridSize: 14
Generation 31 | Revalues: 6304 | GridSize: 15
Generation 32 | Revalues: 6496 | GridSize: 15
Generation 33 | Revalues: 6666 | GridSize: 15
Generation 34 | Revalues: 6834 | GridSize: 15
Generation 35 | Revalues: 7022 | GridSize: 16
Generation 36 | Revalues: 7226 | GridSize: 17
Generation 37 | Revalues: 7444 | GridSize: 17
Generation 38 | Revalues: 7656 | GridSize: 17
Generation 39 | Revalues: 7852 | GridSize: 17
Generation 40 | Revalues: 8022 | GridSize: 17
Generation 41 | Revalues: 8218 | GridSize: 17
Generation 42 | Revalues: 8412 | GridSize: 17
Generation 43 | Revalues: 8594 | GridSize: 18
Generation 44 | Revalues: 8790 | GridSize: 18
Generation 45 | Revalues: 8992 | GridSize: 18
Generation 46 | Revalues: 9178 | GridSize: 17
Generation 47 | Revalues: 9374 | GridSize: 17
Generation 48 | Revalues: 9586 | GridSize: 17
Generation 49 | Revalues: 9784 | GridSize: 17
Generation 50 | Revalues: 10004 | GridSize: 18
Generation 51 | Revalues: 10200 | GridSize: 18
Generation 52 | Revalues: 10400 | GridSize: 18
Generation 53 | Revalues: 10602 | GridSize: 18
Generation 54 | Revalues: 10800 | GridSize: 18
Generation 55 | Revalues: 11008 | GridSize: 18
Generation 56 | Revalues: 11230 | GridSize: 18
Generation 57 | Revalues: 11434 | GridSize: 18
Generation 58 | Revalues: 11612 | GridSize: 18
Generation 59 | Revalues: 11810 | GridSize: 19
Generation 60 | Revalues: 11990 | GridSize: 17
Generation 61 | Revalues: 12186 | GridSize: 18
Generation 62 | Revalues: 12392 | GridSize: 17
Generation 63 | Revalues: 12576 | GridSize: 17
Generation 64 | Revalues: 12768 | GridSize: 17
Generation 65 | Revalues: 12956 | GridSize: 18
Generation 66 | Revalues: 13122 | GridSize: 18
Generation 67 | Revalues: 13312 | GridSize: 18
Generation 68 | Revalues: 13492 | GridSize: 18
Generation 69 | Revalues: 13690 | GridSize: 18
Generation 70 | Revalues: 13900 | GridSize: 13
Generation 71 | Revalues: 14102 | GridSize: 14
Generation 72 | Revalues: 14292 | GridSize: 14
Generation 73 | Revalues: 14530 | GridSize: 14
Generation 74 | Revalues: 14724 | GridSize: 14
Generation 75 | Revalues: 14908 | GridSize: 14
Generation 76 | Revalues: 15114 | GridSize: 14
Generation 77 | Revalues: 15326 | GridSize: 14
Generation 78 | Revalues: 15496 | GridSize: 14
Generation 79 | Revalues: 15668 | GridSize: 14
Generation 80 | Revalues: 15852 | GridSize: 14
Generation 81 | Revalues: 16024 | GridSize: 14
Generation 82 | Revalues: 16218 | GridSize: 14
Generation 83 | Revalues: 16434 | GridSize: 14
Generation 84 | Revalues: 16618 | GridSize: 14
Generation 85 | Revalues: 16808 | GridSize: 14
Generation 86 | Revalues: 17018 | GridSize: 14
