Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 314 | GridSize: 11
Generation 2 | Revalues: 524 | GridSize: 12
Generation 3 | Revalues: 742 | GridSize: 8
Generation 4 | Revalues: 930 | GridSize: 10
Generation 5 | Revalues: 1140 | GridSize: 9
Generation 6 | Revalues: 1366 | GridSize: 9
Generation 7 | Revalues: 1578 | GridSize: 8
Generation 8 | Revalues: 1770 | GridSize: 10
Generation 9 | Revalues: 1980 | GridSize: 10
Generation 10 | Revalues: 2176 | GridSize: 11
Generation 11 | Revalues: 2360 | GridSize: 11
Generation 12 | Revalues: 2536 | GridSize: 11
Generation 13 | Revalues: 2712 | GridSize: 11
Generation 14 | Revalues: 2904 | GridSize: 11
Generation 15 | Revalues: 3100 | GridSize: 11
Generation 16 | Revalues: 3292 | GridSize: 11
Generation 17 | Revalues: 3500 | GridSize: 11
Generation 18 | Revalues: 3728 | GridSize: 11
Generation 19 | Revalues: 3926 | GridSize: 11
Generation 20 | Revalues: 4108 | GridSize: 11
Generation 21 | Revalues: 4300 | GridSize: 11
Generation 22 | Revalues: 4496 | GridSize: 12
Generation 23 | Revalues: 4706 | GridSize: 10
Generation 24 | Revalues: 4938 | GridSize: 10
Generation 25 | Revalues: 5148 | GridSize: 6
Generation 26 | Revalues: 5350 | GridSize: 7
Generation 27 | Revalues: 5546 | GridSize: 7
Generation 28 | Revalues: 5758 | GridSize: 7
Generation 29 | Revalues: 5962 | GridSize: 7
Generation 30 | Revalues: 6178 | GridSize: 9
Generation 31 | Revalues: 6358 | GridSize: 9
Generation 32 | Revalues: 6556 | GridSize: 9
Generation 33 | Revalues: 6750 | GridSize: 9
Generation 34 | Revalues: 6946 | GridSize: 9
Generation 35 | Revalues: 7134 | GridSize: 9
Generation 36 | Revalues: 7330 | GridSize: 9
Generation 37 | Revalues: 7520 | GridSize: 9
Generation 38 | Revalues: 7730 | GridSize: 9
Generation 39 | Revalues: 7896 | GridSize: 9
Generation 40 | Revalues: 8084 | GridSize: 9
Generation 41 | Revalues: 8292 | GridSize: 10
Generation 42 | Revalues: 8500 | GridSize: 10
Generation 43 | Revalues: 8704 | GridSize: 10
Generation 44 | Revalues: 8918 | GridSize: 11
Generation 45 | Revalues: 9118 | GridSize: 11
Generation 46 | Revalues: 9314 | GridSize: 11
Generation 47 | Revalues: 9550 | GridSize: 12
Generation 48 | Revalues: 9778 | GridSize: 13
Generation 49 | Revalues: 9976 | GridSize: 13
Generation 50 | Revalues: 10202 | GridSize: 13
Generation 51 | Revalues: 10420 | GridSize: 13
Generation 52 | Revalues: 10632 | GridSize: 13
Generation 53 | Revalues: 10836 | GridSize: 13
Generation 54 | Revalues: 11048 | GridSize: 13
Generation 55 | Revalues: 11234 | GridSize: 13
Generation 56 | Revalues: 11446 | GridSize: 13
Generation 57 | Revalues: 11648 | GridSize: 13
Generation 58 | Revalues: 11868 | GridSize: 13
Generation 59 | Revalues: 12086 | GridSize: 13
Generation 60 | Revalues: 12294 | GridSize: 13
Generation 61 | Revalues: 12484 | GridSize: 13
Generation 62 | Revalues: 12680 | GridSize: 13
Generation 63 | Revalues: 12894 | GridSize: 13
Generation 64 | Revalues: 13094 | GridSize: 12
Generation 65 | Revalues: 13302 | GridSize: 12
Generation 66 | Revalues: 13514 | GridSize: 12
Generation 67 | Revalues: 13712 | GridSize: 12
Generation 68 | Revalues: 13902 | GridSize: 12
Generation 69 | Revalues: 14106 | GridSize: 12
Generation 70 | Revalues: 14296 | GridSize: 12
Generation 71 | Revalues: 14502 | GridSize: 12
Generation 72 | Revalues: 14710 | GridSize: 12
Generation 73 | Revalues: 14902 | GridSize: 12
Generation 74 | Revalues: 15120 | GridSize: 12
Generation 75 | Revalues: 15352 | GridSize: 14
Generation 76 | Revalues: 15576 | GridSize: 14
Generation 77 | Revalues: 15774 | GridSize: 14
Generation 78 | Revalues: 15960 | GridSize: 14
